rowID,studyID,armID,study_name,manga,study_year,pub_year,drug_name,drug_abbrev,Ntotal,Published,age_mean,age_sd,_Female,Dosing_schedule,Dose_range,Sponsoredbythisdrugcompanyo,Investigational_Comparator,ascale,baseline_mean,V,mean_efficacy,Imputation,Responders,IMPUTEDresp,Unpublished,Recruitment,type,Patient_status,Placebo_run_in,weeks,Rescue_med,Sequence_generation,Allocation_concealment,Blinding_participant,Blinding_therapist,Blinding_assessor,AP,Selective_reporting_bias,dropoutSTUDY,dropoutARM,dropoutDIFF,OverallRoB,PLAresp,Narms,PLAprop,Overall_arm_RoB,PC,PLAprob,PC2,PC3,t
a45,19,2,Lemoine2007 (CL3-20098-035),0,2004,2004,venlafaxine,venl,167,R can come both from pub and unpub data but do not match,39.6,10.3,0.671,Fixed,Licensed,No,Comparator,HAMD17,26,6,11,LOCF,115,0,Yes,Europe,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.156626506,0.215568862,0.058942356,Moderate risk,NA,4,0,Moderate risk,0,0,0,0,17
b15,52,2,Feighner1991,1,1991,1991,bupropion,bupr,61,R from pub data and no or inadequate unpub data,40.9,NA,NA,Flexible,Licensed,Yes,Investigational,HAMD17,25.29999924,6,10.89999962,Others,37,0,No,North America,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,0.276422764,0.262295082,0.014127682,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,3
b14,52,1,Feighner1991,1,1991,1991,fluoxetine,fluo,62,R from pub data and no or inadequate unpub data,42.9,NA,NA,Flexible,Licensed,No,Comparator,HAMD17,26.10000038,6,13,Others,35,0,No,North America,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,NA,0.290322581,0.013899816,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,8
b16,53,1,Weisler1994,0,1994,1994,bupropion,bupr,63,R from pub data and no or inadequate unpub data,40.2,NA,NA,Flexible,Licensed,Yes,Investigational,HAMD21,25.8,6,13.3,Others,33,0,No,North America,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,NA,0.412698413,0.009472606,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,3
b17,53,2,Weisler1994,0,1994,1994,trazodone,traz,61,R from pub data and no or inadequate unpub data,40.8,NA,NA,Flexible,Licensed,No,Comparator,HAMD21,24.9,6,14.4,Others,21,0,No,North America,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0.403225806,0.393442623,0.009783184,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,16
b35,59,1,Caligiuri2003,0,2000,2003,bupropion,bupr,7,R imputed from pub data and no or inadequate unpub data,42,9.8,NA,Flexible,Licensed,No,Unclear,HAMD17,18.4,8,-8.6,Others,3,1,No,North America,Single center,Outpatients only,Unclear,9,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,NA,NA,NA,Moderate risk,NA,3,0,Moderate risk,0,0,0,0,3
b36,59,2,Caligiuri2003,0,2000,2003,sertraline,sert,9,R imputed from pub data and no or inadequate unpub data,42,9.8,NA,Flexible,Licensed,No,Unclear,HAMD17,18.4,8,-9.1,Others,4,1,No,North America,Single center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,NA,NA,NA,Moderate risk,NA,3,0,Moderate risk,0,0,0,0,15
b39,61,1,Thase2006 (WELL 100368),1,2005,2006,bupropion,bupr,171,Inadequate pub data and R from unpub data,37.1,12.32,NA,Flexible,Licensed,Yes,Investigational,HAMD17,24.9,9,-11.92,LOCF,86,0,Yes,North America,Multi-center,Outpatients only,Unclear,12,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.421052632,0.018602541,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,3
b40,61,2,Thase2006 (WELL 100368),1,2006,2006,venlafaxine,venl,177,Inadequate pub data and R from unpub data,37.4,11.6,NA,Flexible,Licensed,No,Comparator,HAMD17,24.1,9,-11.93,LOCF,82,0,Yes,North America,Multi-center,Outpatients only,Unclear,12,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.439655172,0.457627119,0.017971946,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,17
b79,75,1,WELL AK140016,1,2001,NA,bupropion,bupr,69,No pub data and R from unpub data,37.6,10.6,NA,Fixed,Licensed,Yes,Investigational,HAMD17,21.9,8,10.4,Others,35,1,Yes,North America,Multi-center,Other/Unclear/Not stated,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Unclear risk of bias,Low risk of bias,NA,0.202898551,0.025672878,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,3
b80,75,2,WELL AK140016,1,2001,NA,paroxetine,paro,71,No pub data and R from unpub data,37,10.8,NA,Fixed,Licensed,No,Comparator,HAMD17,22.3,8,10.3,Others,36,1,Yes,North America,Multi-center,Other/Unclear/Not stated,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Unclear risk of bias,Low risk of bias,0.228571429,0.253521127,0.024949698,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,13
c13,82,1,Andersen1986,0,1986,1986,citalopram,cita,57,R imputed from pub data and no or inadequate unpub data,NA,NA,0.7,Fixed,Licensed,Unclear,Investigational,HAMD17,22.5,5,12.05,Others,23,1,No,Europe,Multi-center,Inpatients only,Yes,5,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,NA,0.210526316,0.035087719,Low risk,NA,2,0,Moderate risk,0,0,0,0,4
c14,82,2,Andersen1986,0,1986,1986,clomipramine,clom,57,R imputed from pub data and no or inadequate unpub data,NA,NA,0.692,Fixed,Licensed,Unclear,Comparator,HAMD17,22,5,9.21,Others,31,1,No,Europe,Multi-center,Inpatients only,Yes,5,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0.175438596,0.140350877,0.035087719,Low risk,NA,2,0,Moderate risk,0,0,0,0,5
c18,84,2,Timmerman1993 (Study 89422 - FDA and Haffmans 1996),1,1993,1993,citalopram,cita,108,R from pub data and no or inadequate unpub data,NA,NA,NA,Flexible,Licensed,Yes,Investigational,HAMD17,24.7,6,16.6,Others,33,0,Yes,Europe,Multi-center,Outpatients only,Unclear,6,Yes,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0.235023041,0.203703704,0.031319338,Low risk,NA,2,0,Moderate risk,0,0,0,0,4
c17,84,1,Timmerman1993 (Study 89422 - FDA and Haffmans 1996),1,1993,1993,fluvoxamine,fluv,109,R from pub data and no or inadequate unpub data,NA,NA,NA,Flexible,Licensed,No,Comparator,HAMD17,24.5,6,18,Others,31,0,Yes,Europe,Multi-center,Outpatients only,Unclear,6,Yes,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,NA,0.266055046,0.031032004,Low risk,NA,2,0,Low risk,0,0,0,0,9
c20,85,2,Patris1996 (Study 91301 - FDA),1,1996,1996,citalopram,cita,173,R from pub data and no or inadequate unpub data,44,NA,NA,Fixed,Licensed,Yes,Investigational,MADRS,29.70000076,8,9,Others,120,0,Yes,Europe,Multi-center,Outpatients only,Yes,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0.12605042,0.138728324,0.012677904,Low risk,NA,2,0,Moderate risk,0,0,0,0,4
c19,85,1,Patris1996 (Study 91301 - FDA),1,1996,1996,fluoxetine,fluo,184,R from pub data and no or inadequate unpub data,43,NA,NA,Fixed,Licensed,No,Comparator,MADRS,29.39999962,8,10.1,Others,123,0,Yes,Europe,Multi-center,Outpatients only,Yes,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,NA,0.114130435,0.011919985,Low risk,NA,2,0,Low risk,0,0,0,0,8
c22,86,2,Bougerol1997 (Study 91302 - FDA),1,1997,1997,citalopram,cita,158,R from pub data and no or inadequate unpub data,43,NA,NA,Fixed,Licensed,Yes,Investigational,MADRS,31.20000076,8,11.5,Others,102,0,Yes,Europe,Multi-center,Other/Unclear/Not stated,No,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0.294303797,0.303797468,0.009493671,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,4
c21,86,1,Bougerol1997 (Study 91302 - FDA),1,1997,1997,fluoxetine,fluo,158,R from pub data and no or inadequate unpub data,41,NA,NA,Fixed,Licensed,No,Comparator,MADRS,31.79999924,8,11.3,Others,109,0,Yes,Europe,Multi-center,Other/Unclear/Not stated,No,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,NA,0.284810127,0.009493671,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,8
c36,93,1,Hsu2011,0,2011,2011,citalopram,cita,25,R from pub data and no or inadequate unpub data,43.4,11.4,NA,Flexible,Licensed,No,Investigational,MADRS,36.6,6,10.8,LOCF,9,0,No,Asia,Single center,Other/Unclear/Not stated,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,NA,NA,NA,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,4
c37,93,2,Hsu2011,0,2011,2011,sertraline,sert,26,R from pub data and no or inadequate unpub data,38,13.8,NA,Flexible,Licensed,No,Comparator,MADRS,38.2,6,16.7,LOCF,6,0,No,Asia,Single center,Other/Unclear/Not stated,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,NA,NA,NA,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,15
du23,114,1,Perahia2008a (HMBU) (NCT00071695),0,2004,2008,duloxetine,dulo,166,Inadequate pub data and R from unpub data,45.42,13,0.723,Fixed,Licensed,Yes,Investigational,HAMD17,23.1,6,-11.32,LOCF,85,0,Yes,NA,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.210843373,0.039156627,Low risk,NA,2,0,Moderate risk,0,0,0,0,6
du24,114,2,Perahia2008a (HMBU) (NCT00071695),0,2004,2008,venlafaxine,venl,166,Inadequate pub data and R from unpub data,42.62,13.05,0.687,Fixed,Licensed,No,Comparator,HAMD17,23.1,6,-12.03,LOCF,91,0,Yes,NA,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.171686747,0.13253012,0.039156627,Low risk,NA,2,0,Low risk,0,0,0,0,17
du27,116,1,Perahia2008b (HMCQ) (NCT00067912),0,2004,2008,duloxetine,dulo,164,Inadequate pub data and R from unpub data,43.07,12.55,0.671,Fixed,Licensed,Yes,Investigational,HAMD17,22.21,6,-10.76,LOCF,79,0,Yes,NA,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.268292683,0.046070461,Moderate risk,NA,3,0,Moderate risk,0,0,0,0,6
du28,116,2,Perahia2008b (HMCQ) (NCT00067912),0,2004,2008,venlafaxine,venl,340,Inadequate pub data and R from unpub data,41.54999924,12.38,0.68,Fixed,Licensed,No,Comparator,HAMD17,22.375,6,-10.73,LOCF,170,0,Yes,NA,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.183431953,0.03879027,Moderate risk,NA,3,0,Moderate risk,0,0,0,0,17
du33,118,1,Lee2007 (F1J-AA-HMCV) (NCT00489775),0,2005,2007,duloxetine,dulo,238,R from pub data and no or inadequate unpub data,39,13.95,NA,Fixed,Licensed,Yes,Investigational,HAMD17,21.1,8,-14.19,LOCF,144,0,Yes,NA,Multi-center,Both,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.302521008,0.032646531,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,6
du34,118,2,Lee2007 (F1J-AA-HMCV) (NCT00489775),0,2005,2007,paroxetine,paro,240,R from pub data and no or inadequate unpub data,38,15.27,NA,Fixed,Licensed,No,Comparator,HAMD17,21.2,8,-13.52,LOCF,157,0,Yes,NA,Multi-center,Both,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.269874477,0.2375,0.032374477,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,13
du57,126,1,Hao2014,0,2012,2014,duloxetine,dulo,140,R from pub data and no or inadequate unpub data,38.4,13,0.559055118,Fixed,Licensed,Yes,Investigational,HAMD17,23.7,6,-13.8,Others/Unclear,86,0,No,Asia,Multi-center,Both,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Unclear risk of bias,NA,0.228571429,0.013421454,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,6
du58,126,2,Hao2014,0,2012,2014,paroxetine,paro,141,R from pub data and no or inadequate unpub data,38.5,1.6,0.621212121,Fixed,Licensed,No,Comparator,HAMD17,23.7,6,-12,Others/Unclear,74,0,No,Asia,Multi-center,Both,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Unclear risk of bias,0.241992883,0.255319149,0.013326266,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,13
e13,131,1,Kennedy2005 (SCT-MD-16),1,2001,NA,escitalopram,esci,102,No pub data and R from unpub data,37.1,11.4,NA,Flexible,Licensed,Yes,Investigational,HAMDunspecified,25.9,8,-15.7,Others,61,1,Yes,North America,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.352941176,0.050502152,Moderate risk,NA,2,0,High risk,0,0,0,0,7
e14,131,2,Kennedy2005 (SCT-MD-16),1,2001,NA,fluoxetine,fluo,103,No pub data and R from unpub data,37,11.8,NA,Flexible,Licensed,No,Comparator,HAMDunspecified,26.5,8,-16.4,Others,63,1,Yes,North America,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.302439024,0.252427184,0.05001184,Moderate risk,NA,2,0,Moderate risk,0,0,0,0,8
e17,133,1,Bielski2004 (SCT-MD-12),1,2002,2004,escitalopram,esci,101,R from pub data and no or inadequate unpub data,37.3,12.3,NA,Fixed,Licensed,Yes,Investigational,HAMD24,28.6,8,-14.9,LOCF,59,0,Yes,North America,Multi-center,Outpatients only,Yes,8,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.287128713,0.02970297,Low risk,NA,2,0,Moderate risk,0,0,0,0,7
e18,133,2,Bielski2004 (SCT-MD-12),1,2002,2004,venlafaxine,venl,101,R from pub data and no or inadequate unpub data,37.5,11.6,NA,Fixed,Licensed,No,Comparator,HAMD24,27.4,8,-12.9,LOCF,47,0,Yes,North America,Multi-center,Outpatients only,Yes,8,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.316831683,0.346534653,0.02970297,Low risk,NA,2,0,Low risk,0,0,0,0,17
e19,134,1,Montgomery2004a (Study 99067),1,2002,2004,escitalopram,esci,148,R can come both from pub and unpub data and match,49,15,NA,Flexible,Licensed,Yes,Investigational,HAMD17,19.99,8,-12.52,LOCF,113,0,Yes,Europe,Multi-center,Other/Unclear/Not stated,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,Low risk of bias,Low risk of bias,NA,0.155405405,0.005234757,Low risk,NA,2,0,Moderate risk,0,0,0,0,7
e20,134,2,Montgomery2004a (Study 99067),1,2002,2004,venlafaxine,venl,145,R can come both from pub and unpub data and match,47,14,NA,Flexible,Licensed,No,Comparator,HAMD17,20.44,8,-12.83,LOCF,113,0,Yes,Europe,Multi-center,Other/Unclear/Not stated,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,Low risk of bias,Low risk of bias,0.150170648,0.144827586,0.005343062,Low risk,NA,2,0,Low risk,0,0,0,0,17
e23,136,1,Ventura2007 (SCT-MD-18),1,2003,2007,escitalopram,esci,107,R from pub data and no or inadequate unpub data,40.6,13.7,NA,Fixed,Licensed,Yes,Investigational,HAMD24,26.8,8,-16.9,LOCF,75,0,Yes,North America,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,NA,0.177570093,0.019430559,Low risk,NA,2,0,Moderate risk,0,0,0,0,7
e24,136,2,Ventura2007 (SCT-MD-18),1,2003,2007,sertraline,sert,108,R from pub data and no or inadequate unpub data,38.1,11.5,NA,Flexible,Licensed,No,Comparator,HAMD24,26.8,8,-16.1,LOCF,74,0,Yes,North America,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0.158139535,0.138888889,0.019250646,Low risk,NA,2,0,Low risk,0,0,0,0,15
